trome#2021-03-02#02.png - Time needed: 0.0081s - Config 184: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0103s - Config 186: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0078s - Config 185: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.2474s - Config 174: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0935s - Config 183: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0103s - Config 189: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.0108s - Config 193: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.0243s - Config 194: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.0456s - Config 191: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.0115s - Config 192: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.0109s - Config 197: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.3987s - Config 166: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.0283s - Config 199: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.1588s - Config 190: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.3132s - Config 182: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.2166s - Config 202: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.2367s - Config 201: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.1867s - Config 198: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.2235s - Config 200: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.2753s - Config 205: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.2172s - Config 209: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.2974s - Config 208: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.4087s - Config 207: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.2134s - Config 213: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.4275s - Config 206: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1358s - Config 218: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.1803s - Config 217: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.3221s - Config 215: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.2642s - Config 216: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1267s - Config 221: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.laplacian_filter
trome#2021-03-02#02.png - Time needed: 0.1618s - Config 223: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.unsharp_filter
trome#2021-03-02#02.png - Time needed: 0.5404s - Config 210: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.median_filter
trome#2021-03-02#02.png - Time needed: 0.5263s - Config 214: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
trome#2021-03-02#02.png - Time needed: 0.1376s - Config 225: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
trome#2021-03-02#02.png - Time needed: 0.1247s - Config 224: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.mean_filter
trome#2021-03-02#02.png - Time needed: 0.1542s - Config 226: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.median_filter
